Bangla,English
"এন্টিডিপ্রেসেন্টের পার্শ্বপ্রতিক্রিয়া নিয়ে আলোচনা করতে করতে সিদ্ধান্ত নিই, আমাদের মনের অসুখ সারবে না জেনেও বেঁচে থাকা ইম্পর্ট্যান্ট। ","While discussing the side effects of antidepressants, we decide that it is important to live our life even though our mental diseaese will never be cured."
কতটা নিকটবর্তী হওয়ার বাকি প্রভুর জায়নামাজে।,How close we need be on the prayer rug.
যেভাবে উত্তরপত্রে ঠিক লিখছি না জেনেও কলম থামাই না।,How we do not stop writing on the answer script even though we know we are wrong.
আত্মহননকারী ব্যতীত আর সকলেই মৃত।,Everyone is dead except those who commit suicide.
"একা একা চিল করতে ভাল্লাগতেছেনা, তাই রাইড শেয়ার করতেছি।","I am not enjoying having fun alone, that's why I am sharing rides."
শব্দ দিয়ে একটা যুদ্ধ বাধিয়ে ফেলা যায়।,Words can even start a war.
"এই শহর না আমায় নিতে পারবে, না ফেলতে পারবে।",This city can neithe take me nor leave me.
মামা টাকা কথা কয় ভুলে গেছো।,"Mama, have you forgot that money talks?"
কৃতকর্মের ফল ভোগ করতেই হবে।,You have to enjoy the results of your actions.
বিদেশী ধামাধরাদের কথায় কান না দিয়ে নিজেদের তৈরী পণ্যকে অবশ্যই অগ্রাধিকার দিতে হবে।,We should prioritize our own products instead of listening to the foreigners.
হের মতিগতি বোঝা মুশকিল।,It's difficult to understand his pulse.
"যারা প্রতিষ্ঠান ধ্বংসের বাঁটোয়ারা পান, তারা।",Those who get the spoils of a ruined organization.
"মাস শেষে টাকা পাইলেই হইছে, সুবিধা তো আছেই হরেক রকম।","It is alright if we get the money at the end of the month, we have so many perks."
সাম্প্রতিক ভারতের পারফরম্যান্স বাংলাদেশের বিরুদ্ধে ওয়ানডেতে খারাপ অবস্থা তাই ভয়ে রাখেনি এটাই প্রমাণিত।,"Recently performance of India is poor against Bangladesh in One Day Internationals, so it is proven that they have not scheduled a match out of fear."
জেনে নিন বান মেরে বিয়ে করার পাঁচটি উপায়!,Learn the five ways to get married through possessing.
সুয্যিমামা এরই মধ্যে তার তেজ জানান দিয়ে চলেছে।,The sun has let its heat know.
"বাহির বলে দূরে থাকুক, ভিতর বলে আসুক না! ","Outside says keep far away, inside says come here!"
পুলিশ ইনভেস্টিগেশনে আরো অদ্ভুত অদ্ভুত তথ্য বেরিয়ে আসে।,Many peculiar information are out in the police investigation.
পঁচে মরবো মানে?,What do you mean you will die and rot?
অবশ্য বৃষ্টি এলে এখন আমার কবর ছাড়া কিছুই ধুইয়ে দিতে পারেনা।,Though rain cannot wash anything except the grave of my mother.
চক চক করিলে সোনা হয় না।,All that glitters is not gold.
এজন্য বায়োডিগ্রেডেবল ব্যাগের মাস প্রোডাকশন অপরিহার্য।,That's why mass production of biodegradable bag is inevitable.
"এতো বিরুপ, সন্দেহপ্রবন এবং হিংসাত্মক লেখা জীবনে পড়ি নি।","I have never read such a negative, suspicious and violent writing in my life."
তবুও চলছে নির্লজ্জ দালালি।,Yet shameless brokering is going on.
"ভিডিওর টাইটেলে ""সহজ রেসিপি"" লিখে  হিমালয়ান সল্ট, উত্তর মেরুর বরফ, মঙ্গল গ্রহের মাটি এসব কেন যোগ করতে থাকেন?","Why do you add Himalayan salt, north pole ice, Mars soil after writing ""Easy Recipe"" in the video title?"
আসুন রমজানকে জুজু বানিয়ে যারা ব্যবসার ফাঁদ পেতেছে তাদের বিরুদ্ধে রুখে দাঁড়াই।,Let's not make Ramadan an issue and stand againts those who've set business traps.
"আমার খারাপ লাগে অসহায় কৃষকদের জন্য, যারা আসলেই পাইকারি ন্যায্য মূল্য পায়না, পাবে না।",I feel bad for the helpless farmers who do not and will not get fair wholesale price.
প্রতিটি পন্যের অস্বাভাবিক দামবৃদ্ধিতে এভাবেই রুখে দাড়াবে ভোক্তারা।,The consumers will stand against the unusal price hike of each products.
পদ্মায় পানি প্রবাহ অস্বাভাবিক কমিয়ে দেয়া হয়েছে।,Water flow in Padma has been decreased drastically.
সব একসাথে করে জ্বাল দিয়ে পাঁচ মিশালী সেই সালুন করলাম।,I have cooked the mixed curry after mixing and heating everything up.
"ফেসবুকের হাবিজাবি পড়ার চেয়ে, একটা রবীন্দ্রনাথের লেখা, অনেক বেশি ঋদ্ধ করে।",A writing of Rabindranath will flourish you a lot more than useless writings on Facebook.
সস্তা জিনিস এর চাহিদা বেশি।,Cheap products have more demand.
প্রতিবেদনের শব্দচয়ন মানসম্মত নয়।,The wording of this report is not up to the mark.
"আমি তো বাংলাদেশের কেউ না, পূর্ব পুরুষের দেশ।","I am not anyone from Bangladesh, country of my forefathers."
"দেশের বাইরে যারা থাকে, তারাই প্রকৃত অর্থে দেশকে হৃদয়ে লালন করেন - এটা খুবই সুপারফিশিয়াল এবং দেশে থাকা মানুষদের জন্য অপমানজনক কথা!",Only those who live abroad keep their country close to their heart - It is a superficial talk and insulting to the countrymen.
ওরা রঙ-চঙ একটু বেশি পছন্দ করে হুমায়ূন ভাই।,"They love to have fun, Humayun Bhai."
একটি অত্যন্ত আবেগপ্রবণ জাতির অনুষ্ঠান দেখার সৌভাগ্য আমার হয়েছে।,I was fortunate to watch the program of a very emotional nationality.
আপনি তো অনেক শুকিয়ে গেছেন আপু।,"You have become lean, sister."
ওদের কি একটুও বেহিসেবী হতে ইচ্ছে করে না?,Don't they wish to become extravagant?
মেট্রোরেলের মতিঝিল-কমলাপুর অংশে ভায়াডাক্ট স্থাপন শুরু।,Construction of viaduct on Motijheel-Kamalapur section of Metrorail started.
"শুধু বুয়েট নয়, সারা দেশে রাজনীতি মুক্ত শিক্ষালয় চাই।","Not only in BUET, we want politics free educational institutions in the whole country."
এরা আবার প্রমান করে দিল বাঙালির দোজখে দারোয়ান লাগে না।,They have again proven then Bengalis do not need gatekeeper in hell.
"যেখানেই সাধারণ ছাত্র রাজনীতি বন্ধ থাকে, সেখানেই শিবির, হিযবুত তাহরীরের মত সংগঠন মাথা চাড়া দিয়ে উঠে।","Where student politics banned, organizations like Shibir and Hizbut Tahrir rise up."
"""মুক্তিযুদ্ধের পক্ষের শক্তি""-এই শব্দগুলোকেই তো আপনারা সন্দেহজনক বানিয়ে ফেলেছেন।","""Force for the liberation war"" - you have made these words suspicious."
"রাজনীতিবিদ দুই প্রকার; এক যারা মাঠে রাজনীতি করে, আর দুই যারা সুশীল সেজে প্রথম আলোতে কলাম লিখে।","Politicians are of two types; one who do politics in the field, and those who write columns for Prothom Alo pretending to be intellectuals."
যত গর্জে তত বর্ষেনা।,It does not rain as much as it thunders.
"সালাফি কলোনিয়ালিস্ট জেনোসাইডার এপোলাইজারের হানি নাটস আপনার যৌনতাকে মধুর করতে পারবেনা, তরমুজ পারবে। ","Salafi colonialist genocide apologizer's honey nuts cannot be your sexuality any sweeter, but watermelons can."
মন খারাপ হলে কুয়াশা হয়।,It dews when I am sad.
হিজবুত তাহরির ক্যাম্পাসে দুইদিনের দুনিয়ায় তিনদিন কনসার্ট আর পাচদিন ফ্ল্যাশমব!,"In Hizbut Tahrir's campus, in two day's world there are concert and three days and flashmobs on five days."
স্বপ্ন বাড়ি যাবে আমার।,My dreams will go home.
ভার্সিটিতে পড়া ছেলেমেয়েরা এতো চাইল্ডিস হয় কিভাবে!?,How can boys and girls from university be this childish?
আবার কেউ ভুল ধরিয়ে দিলেও নিজের ইগোকেই ঠিক মনে করছেন!,"When someone is correcting you, you are thinking your ego is correct!"
পাহাড় কাটা বন্ধে অভিযানে যাওয়া বন কর্মকর্তাকে ডাম্পার চাপায় খুন।,Officer went to stop illegal mountain cutting is hacked to death from running over by a dumper.
মরিচ যেভাবে চরাঞ্চলের প্রধান অর্থকরী ফসল হয়ে উঠেছে।,Chillis have become the cash crop of bar area.
আজকে ইমরুল ব্রো দলে থাকলে এই বেইজ্জতি হওয়া লাগতোনা।,"If Imrul bro were on the team, we wouldn't have to face such disgrace."
বুয়েটে নিয়মতান্ত্রিক ছাত্ররাজনীতির দাবিতে শহীদ মিনারে ছাত্রলীগের প্রতিবাদ সমাবেশ।,Chhatra League protest rally at Shahid Minar demanding systematic student politics in BUET.
শীত প্রকৃতির রুপ কেড়ে নিয়েছে।,Winter has snatched away the beauty of nature.
"আকাশটা কি সুন্দর, বিশেষ করে মেঘের টেক্সচারটা।","How beautiful is the sky, specially the texture of clouds."
আমার এলাকায় দ্বৈত শাসন চলবে না: সাবেক ভূমিমন্ত্রীর হুঁশিয়ারি।,There won't be any dual rule in my locality: Warns Land Minister.
৪৩% সিইও মনে করেন বাংলাদেশের ব্যবসায়িক প্রবৃদ্ধিতে বড় ভূমিকা রাখবে ভারত,43% of CEOs think India will take a significant role in business growth of Bangladesh.
এক নিমিষেই সব স্মৃতি হয়ে গেলো।,Everything has turned into a memory in a glimpse.
আদালতের আদেশ শিরোধার্য।,Court orders must be abided.
"হলে এরা ফাউ খায়, অথবা কম টাকায় খায়।",They eat for free or less in the hall.
আমাদের প্রচেষ্টায় বদলে যাওয়া ফুচকার নতুন গাড়ি।,Newly transformed Fuchka cart through our effort.
"আমার রূপকথার গল্পগুলি সেই পড়ুয়াদের জন্য, যাদের বুকের মধ্যে শৈশব অমলিন রয়েছে","My fairytales are for those readers, who have their childhood intact in their heart."
হিরো আলমরে থাপড়াই চোবড়াই দেওয়ার কোন ব্যবস্থা ছিলোনা?,Wasn't there any scope to slap Hero Alam?
মনে হয় দুজন এক রকম গোলুমোলু।,You two seem like the same kind of chubby.
জীবনের তাগিদে বয়সও হার মেনে যায়।,Age succumbs for the sake of life.
"ভাই, মাইয়া মানুষের বিশ্বাস নেই।","Brother, girls are not trustworthy."
"সবাই ক্রস ফায়ারের বিরোধিতা করি, কিন্তু ক্রস ফায়ার ছাড়া গতি কি?","All of us oppose crossfire, but is there any alternative?"
চরমপন্থীদের চরম শিক্ষা দেওয়া হোক।,Extremists should be given extreme education.
দেশকে কি অসম্ভব ভালোবাসি সেটা বোধহয় বিদেশে না আসলে বুঝতাম না।,I wouldn't have undertood how much I love my country if I hadn't been abroad.
"দুইজন মানুষ, সম্পূর্ণ চুপ, হয়তো এক রাশ অভিমান, হয়তো চাপা কষ্ট, ৩ মিনিটের একটা ডায়লগ বিহীন দৃশ্য দিয়ে দর্শকের মন কেড়ে নেয়া।","Two people, completely silent, maybe a rush of sensitiveness, maybe suppressed pain, stealing the audience's mind with a 3-minute dialogue-free scene."
রাজশাহী শহরে ছিলো অথচ রাজশাহী শহরের মায়ায় পড়েনি আমার মনে হয় এমন কোন মানুষ খুজে পাওয়া যাবেনা।,I don't think a person can be found who has lived in Rajshahi but hasn't falled under the spell of it.
"ফিল গুড' একটা সিনেমা, কি সুন্দর অভিনয় প্রীতমের!","A 'feel good' cinema, what a beautiful acting by Pritom!"
ছবিটাতে কোন কিছু নিয়ে বাড়াবাড়ি নেই।,There is no exaggeration in the film.
"সুইজারল্যান্ডের একটি পাহাড়ের চূড়ায় সবুজ ঘাসের উপরে বসে গানটা শুনতেছি,মনটা পড়ে আছে টিএসসিতে।","Sitting on the green grass on the top of a mountain in Switzerland and listening to the song, but my mind is at TSC."
প্রেম আর প্রণয় মিলিয়ে তার সাথে প্রায় বারো বছর কাটিয়ে দিলাম।,I spent almost twelve years with him in love and marriage.
বিশাল জ্ঞানমূলক নগ্ন কথাবার্তা,এতো এতো মেয়েদের সাথে কথা বলার কারণেই হয়তো এই বিষয়ে লেখার প্রয়োজন বোধ করছি।
ভুতুড়ে ঠান্ডা শহরে মাঝরাতে হাহা হিহি করতে করতে দুইজন মানুষ কেন ঘন্টার পর ঘন্টা হাঁটবে?,Why would two people walk for hours in the middle of the night in a ghostly cold city while laughing?
এর চেয়ে সূক্ষ্ম দুঃখবোধ বুঝি আর নেই আমার।,I don't know any more subtle sadness than this.
তাদের কনজারভেটিভ হবার কারণে সবই অধরা রয়ে গেলো।,Everything has remained elusive due to their conservativeness.
"আমার বেহেশতের ফুল তুই, হয়তো আমার প্রতি অনেক রাগ আমি কেন তোর মুখখানা দেখতে পেলাম না।","You are my heavely flower, maybe you are angry with me as I didn't see your face."
"চিন্তা করলে কিছুক্ষণের জন্য অদ্ভুত লাগে, তারপর মন আবার ব্যস্ত হয়ে পড়ে।","Thinking feels weird for a while, then the mind gets busy again."
"শত কথার মধ্যে থেকে গ্রাফিন, ন্যানোটেক, আর্কিমিডিস নিয়ে আলোচনাও শেষ করা হয়নি।","Among hundreds of words, discussions about graphene, nanotech, Archimedes are not finished."
"অনেক ভাইবা চিন্তা দেখলাম, রং রূপ দিয়া আসলে খুব বেশিদিন কাউকে মুগ্ধ রাখা যায়না। ","After a lot of pondering, I think you can't keep someone impressed for a long time with beauty."
"বিরিয়ানি সবাই ভালবাসি, তবে ডেইলী খাইলে একদিন মনে হবে মাটি খাচ্ছি।","Everyone loves biryani, but if you eat it daily, one day you will feel like you are eating soil."
আমি ইদানিং বুঝতে শিখেছি মানুষের সাথে মেশার থেকে গাছে জল দেওয়া ভালো।,I have recently learned that it is better to water plants than to mix with people.
"আর আপনি এতো ভাল অভিনয় করবেন যে, আপনি যে ভালবাসছেন না, প্রেম করছেন তাও বুঝতে পারবো না।",And you will act so well that I will not understand if you're in love or flirting.
খেয়াল করেন যে কালচার ওয়ারের দুই পক্ষই ইন্সিগ্নিফ্যান্ট অর্জন ও ফালতু বিষয়কে কীভাবে গ্লোরিফাই করে।,Notice how both sides of the culture war glorify the insignificant achievement and the trivial matters.
"কিন্তু দুনিয়াতে মমতার এত অভাব, এজন্যে আমাদের সমাধানের ও অনেক অভাব। ","But there is so much lack of compassion in the world, that's why we lack solutions"
এই গোলামের দলের জীবনের সবচেয়ে বড় এচিভমেন্ট হলো ‘সাহেব’ হৈতে পারা ।,The biggest achievement in the life of this group of slaves is to become a master.
প্রফেসর সাহেব এই পোস্টারে যা দেখিয়েছেন তা তার ব্যক্তিগত ফ্যান্সিফুল কল্পনা।,What Professor Sahib has shown in this poster is his personal fanciful imagination.
কিন্তু সিলিন্ডার আর গোলকে ধর্ম বা পবিত্রতা আরোপের যে কোন চেষ্টা একান্তই ব্যক্তিগত,বিজ্ঞানের এখানে কোন জায়গা নেই।
"জীবনের ডায়রিতে, অদৃশ্য কালিতে, একটি সত্য আছে লেখা, মানুষ বড় একা।","In the diary of life, in invisible ink, there is a truth written, man is alone."
"কবি ডুবে মরে, কবি ভেসে যায় অলকানন্দা জলে।","The poet dies drowning, the poet floats away in golden trumpet water."
মানবতা পুরাই হুমকির মুখে।,Humanity is at stake.
পাবলিক মারাত্মক।,People are crazy.
গভীর রাতে ম্যাকালান সিঙ্গেল মল্ট হুইস্কির গ্লাসে চুমুক দিতে দিতে এদিক ওদিক তাকিয়ে কথা বলার মানুষ খুঁজি।,Every night I look around and look for people to talk to while sipping Macallan single malt whiskey.
দুই ব্রো একসাথে চার শলাকা মার্লবোরো গোল্ড এবং এডভান্স সেবন করে বাসায় ফিরলাম।,Two bros consumed four sticks of Marboro Gold and Advance and returned home.
আপনার সামার লাভার ফ্রেন্ডদের সাথে সম্পর্ক ছিন্ন করুন।,Cut relationships with your summer lover friends.
বর্তমান জামানার মেয়েদের রুচির এই অধঃপতন আমাকে সতত পীড়া দেয়।,This degradation in taste of modern women constantly torments me.
এখন পোলারা প্যান্ট বানাইতে আইলে জিগাইতে হয় পিছনে চেইন দিমু নাকি।,"When guys come to make pants, I have to ask them if I should put a zipper in the back?"
নেশা করে দুই পায়ে দুই রকমের স্যান্ডেল পরে এলাকায় দেড় ঘন্টা ঘুরে আসলাম।,"Intoxicated, I walked around the area for an hour and a half wearing two types of sandals."
শুধুমাত্র সামাজিকতার খাতিরে মাগলদের সাথে চলাফেরা করি।,I only mix with muggles just for the sake of socializing.
কৃত্রিম অনুভূতির এই যান্ত্রিক জগতে আমাদের সুখের স্বরূপ আসলে কোথায়?,Where is the nature of our happiness in this mechanical world of artificial feelings?
স্বাধীনতা দিবস উপলক্ষে আজ আপনার বয়ফ্রেন্ডের সাথে ব্রেকআপ করে একটি স্বাধীন জীবন শুরু করুন।,Break up with your boyfriend and start an independent life today on the occasion of Independence Day.
এরকম জ্যাম ছেলেদের লম্পট বানিয়ে দেয়।,Traffic jams like these make men perverts.
নিজের মেয়েকে সত্যি সত্যি ভালোবাসলে বাবা-মা কখনই তাকে বিয়ের মুখে ঠেলে দিতে পারে না।,"If parents really love their daughter, they can never push her into marriage."
আরেকটু বেশি টাকা দিলে তামিম নিজেকে গে হিসেবে ডিক্লেয়ার করতে রাজি হয়ে যাবে।,"For a little more money, Tamim will agree to declare himself as gay."
"ব্যাটা মানুষ খালি পালায়, এরা ভয়ংকর এস্কেপিস্ট।","Men run away, they are terrible escapists."
কেমন আছে ফেসবুকে পাঞ্জাবি আর জামা চেয়ে বেড়ানো গরিব ফইন্নিরা?,How are the poor beggars looking for Punjabi and clothes on Facebook?
যুব ও যুবতী সমাজের এহেন নৈতিক অবক্ষয় দেখে আমি স্তম্ভিত।,I am shocked to see such moral degradation of youth.
"তিনি তার বিশ লাখ টাকার সোফায় বসতে বসতে বললেন, বুঝলেন ভাই, আমরা মধ্যবিত্তরা আসলে পরিবারের সাথে ইফতার না করলে আরাম পাই না।","He asked to sit on his twenty lakh taka sofa, bro, we middle class people don't get comfortable if we don't have iftar with family."
ক্রিয়েটিভ ডিরেক্টররা মূলত সমাজের নিম্নস্তরের বোঝা।,Creative directors are basically the burden of the lower strata of society.
ইফতারের পর বিড়ি সেবন করতে গিয়ে এলাকার নিকটস্থ দোকানে বাপ ছেলের মুখোমুখি সংঘর্ষ।,Father and son face-to-face in a shop near the area while consuming cigarette after iftar.
কেমন আছে রমজান মাসে নিত্য প্রয়োজনীয় জিনিসের দাম বাড়ানোর পেছনে দায়ী খানকির পোলারা?,How are the sons of bitches responsible for increasing the prices of daily necessities in the month of Ramadan?
টার্ক মানুষকে হর্নি করে দেয়।,TARC makes people horny.
ধূমপান স্বাস্থ্যের জন্য ক্ষতিকর,Smoking is injurious to health.
মানুষের আসলে রুচি বলতে কিছু নাই।,People do not have taste anymore.
ভার্সিটিতে ওঠার পর তারুণ্যের জোশে চার পাঁচটা ক্লাবে যোগদান করেছি।,"After entering the varsity, I joined four or five clubs due to the vitality of my youth."
এই ক্লাবে অ্যাকটিভ না হলে তো তুই চাকরিই পাবি না!,"If you are not active in this club, you will not get a job!"
"তগো লাইগা মার্লবোরো ছাইড়া গোল্ডলিফ ধরছি, এখন এইটাও খাইতে দিবি না।","I've replaced Marlboro with Gold Leaf due to you, now you won't let me consume this."
ঘুমের মাঝেই আমার অ্যাকাউন্ট থেকে সাবস্ক্রিপশন ফি বাবদ একটা প্রতিষ্ঠান ৯৯ টাকা কেটে নিসে।,A company deducted 99 taka from my account as subscription fee in my sleep.
"সব রেস্তোঁরার মালিকের মতে, তার নল্লিই সবচেয়ে বড়!",Every restaurant owner claims that his hoofs are the largest.
হয়তো কোনো এক রাতে মশার বাচ্চারা মশারি কাটা শিখে ফেলবে।,Maybe one night the baby mosquitoes will learn to cut the mosquito net.
দেশি মালে পানি মিশিয়ে ঢকঢক করে গিলে খাওয়া ফকিন্নির পুতদের জন্য এই জিনিস নয়।,This is not for the water diluted local alcohol gulping sons of beggars.
কষ্ট মেয়েদের জীবনের নিত্যসঙ্গী।,Suffering is a constant companion in the life of girls.
পোলাপান প্রাইভেট ভার্সিটিতে পড়লে শরীরে একটা চকচকা ভাব আনতে চায়।,People wants to bring a shiny look to the body when studying in a private university.
কয়লার মতো কালা বন্ধুকে গোসল করাতে করাতে এলিজাবেথ এখন প্রায় ফর্সা বানিয়ে ফেলেছে।,Elizabeth has turned our coal like dark skinned friend into fair skinned by washing him.
"এখন বেজমেন্টে জুয়া খেলছি, গরমে খুব কষ্ট হচ্ছে।","Now I am gambling in the basement, suffering in the heat."
দুই দিন ধরে পড়তেসি সিলেবাস শেষ হয় না,I am studying for two days and I am still not being able to finish the syllabus
একটু বাইরে যেতাম আরকি,I would like to go outside
বাইরে আছি একটু ওয়েট কৈরিস,"I am outside, wait for me"
তুই তো দৌড়াদৌড়ির উপর ছিলি,You were busy
প্রথমটার জন্য কি এভাবে ধরবো,Will I consider it like this for the first one?
দেখতে কালো হওয়ার পর ও যখন আম্মু বলে কালো ছেলেরা সুন্দরী বৌ পায়,"Even though I am black, my mother says black men get beautiful wife"
বিয়ের জন্য ফ্যামিলির চেয়ে বেশি বন্ধুরা চাপ দিতেসে,My friends are pressurizing me more than my parents for marriage
"এই যে চশমা ছাড়া কানে না শুনার বেপারটা, এইটা এখনো গেলোনা","Can't hear without glasses, still can't escape this habit"
কি টাইপের কাজ হইতেসে ওইটা বলা লাগবে,I need to say what type of task is happening
মেইল চেক করে দিতেসি,I will send you after checking the mail
বেগুনি আর আলুর চপ এর মধ্যে কোনটা জোস্?,"Fried eggplant or potato cutlet, which one is awesome?"
মাছে এত কাটা খাইতে খুবই পেরা,It is too tough to eat fish as there are too much bones
"গু খায় সব মাছে, দোষ অয় পাঙ্গাশের","Fish eats shit, fault goes to pangash catfish"
বিয়ের পর ঠিক এইভাবেই বউ এর দোষ দিয়ে বেচে যায় হাজারো পুরুষ,This is how thousands of men escape from their wives' complaints after marriage
লিস্টের কিছু বান্দা রে দেখতেসি থার্টি ফার্স্ট লইয়া ভরপুর ইসলামী পোস্ট শেয়ার করতেসে,I have seen some people from my friend's list enjoying 31st while sharing Islamic posts
২১শে ফেব্রুয়ারী কি দিবস জানা নাই অথচ এস এস সির রেজাল্ট ফার্স্ট ক্লাস,First class in SSC even though they do not know about 21st February
তুমি তো আয়েল্টস করতেছো তোমার আবার শীত লাগে কেমনে?,How are you feeling cold if you are taking ielts?
ঘাটপারের লোক শপিংমলে এসে আউলায় গেসে,Ghatpar's people have become crazy after coming to the shopping mall
রাস্তায় বের হলে যুব সমাজের অনেকেই আমাকে রোলমডেল হিসেবে দেখে,Most of young generation see me as a role model when I go out
রিসেন্টলি এই ছবিটা নিয়ে বেশ সমালোচনা হচ্ছে,There has been too much complaining about this photo recently
আজকে মেট্রোতে মহিলা বগিতে কত গুলো ব্যাটা,There is too much men in women's section of bogie today
ওদেরকে কোনো স্টেশনে নামতে দেয়নাই মহিলারা,The women did not let them depart in any station
সেদিন থেকে এই যে মানুষকে ইমপ্রেস করার এতো প্রচেষ্টা যা করে বেড়ান,"From then on, people are trying too much on impressing other people"
"ঈমান সব নষ্ট করে দিচ্ছি এই চিন্তা করে ""মানুষ কি বলবে?""","People are ruining their faith thinking ""what will people say?"""
নয় মাস ধরে এই কৌশলে ১০০টি কুপন পেয়েছেন ওই ব্যাক্তি,That man received 100 coupons after applying this technique for nine months
তাও আজকাল অনেক ট্রাশ পোস্ট হয় মাঝে মধ্যে,Though there have been many trash posts these days
সিংহ শান্ত হয়ে গেলেও জঙ্গল কুকুরের হয় না!,Lion calms down but a wild dog does not!
জীবনের শেষ পাবলিক এক্সামেও বরাবরের মতো জিপিএ ৫ আসলো,I still got gpa 5 in my last public exam marginally
ঢাকা শহর আইসা আমার আশা ফুরাইছে,I lost my hope after coming to Dhaka
ভাত ছিটাইলে কাকের অভাব হয় না,There are no shortage of crows when you provide rice
পোলাডারে ধার দেন কইরা উচ্চশিক্ষিত করলাম,I borrowed money to make this boy highly educated
আল্লার রাস্তে যা আসে তাই দিয়া যান,Give me anything in the name of Allah
একটা বিবি থাকলে এই রংগের একটা শাড়ি কিন্না দেতাম,"If I had a wife, I would have bought her a saree of this color"
অসম্ভব সুন্দর একটা শিক্ষা পেলাম এখান থেকে,I got an amazing learning experience here
আপনে আছেন বাটন ফোনে কথা বলছে,You are here talking to a button phone
আরেকজন নিজের এক্সাম রেখে ছবি তুলতেসে,Another one is taking picture rather than taking his exam
সাপের বাচ্চা টা সে ই ছিল,The snakelet was very good
অনেক দিন পর পাসওয়ার্ড খুঁজে পাইসেন মনে হয় ৫ মাসের সব ভিডিও একসাথে দিচ্ছেন,I guess you found your account after a long time as you are uploading all the videos of 5 months
আচ্ছা পেরা নাই,Alright no worries
"এই মুস্তাক ভাই, কেমন লাগতেসে আপনার বৌরে জড়ায়ে ধরে আছি","Hey brother Mustak, how are you feeling when I am hugging your wife"
বাসে ওঠার সময় চাপাচাপি ঠেলাঠেলি করতে হয়,There are lots of pressure and pushing while I am entering the bus
এভাবে চাপাচাপি করলে শইল্লের তেল সব বেরিয়ে যায় অর্থাৎ তেল উৎপন্ন হয়,"Pushing this way relases your oil from the body, this means natural oil is produced"
লাস্ট সেমিস্টার এর এসাইনমেন্ট একটু দিতে পারবে,Can you give your assignment from the last semester
একদিন জাগলে কাজটা এগিয়ে যেতো,The work will make a good progress if you stay awaken for one day
একসাথে এতগুলো কোর্স একজন ফ্যাকাল্টি করাইতে পারে না,One faculty cannot teach so many courses altogether
